ID	Fwy	Dir	District	County	City	State_PM	Abs_PM	Latitude	Longitude	Length	Type	Lanes	Name	User_ID_1	User_ID_2	User_ID_3	User_ID_4
401541	880	N	4	85	68000	4.50	4.5	37.370203	-121.901514	.295	ML	3	Old Bayshore	DT094	L3-N-37-880-00450		
401542	680	N	4	13	83346	14.89	46.391	37.90607	-122.069211	.465	ML	4	Short Street beside CB 15.2 Soun	DT254	L4-N-28-680-01489		
401545	880	N	4	1	26000	9.90	20.127	37.559198	-122.03362	.625	ML	5	EB SR-84/Decoto Rd-2	DT380	L5-N-33-880-00990		
401546	80	E	4	1	53000	1.38	6.69	37.821995	-122.324536	1.02	ML	5	Base of the Bay Bridge	DT648	L5-E-33-080-00138		
401547	92	E	4	81		7.34	8.066	37.507109	-122.338144	3.18	ML	2	EB 92 to NB 280 loop	TV450	L2-E-35-092-00734		
401548	580	E	4	1	53000	44.07	60.003	37.816339	-122.251805	.49	ML	4	Oakland Ave / Harrison St	DT336	L4-E-33-580-04407		
401551	80	E	4	13	60620	5.69	19.023	37.972158	-122.319728	.22	ML	5	W of Hill Top Dr. off ramp	DT467	L5-E-28-080-00569		
401555	85	N	4	85	68000	5.23	5.23	37.255657	-121.858984	.48	ML	3	500' Nof Santa Teresa	E37KD	L3-N-37-085-00523		
401556	80	W	4	1	53000	1.38	6.69	37.822185	-122.324796	.82	ML	5	Base of the Bay Bridge	DT648	L5-W-33-080-00138		
401557	880	S	4	1	26000	9.90	20.127	37.559063	-122.033816	.625	ML	5	Decoto Rd/WB SR-84	DT380	L5-S-33-880-00990		
401558	80	E	4	13	60620	1.54	14.873	37.91859	-122.317348	.38	ML	4	West of Potrero Ave  rm-w-diag	DT462	L4-E-28-080-00154		
401559	80	E	4	1	6000	6.60	11.91	37.87745	-122.307025	.25	ML	5	Gilman St.	DT323	L5-E-33-080-00660		
401560	880	N	4	85	68000	3.51	3.51	37.357526	-121.907884	.99	ML	3	First Street rm-n-loop	E37FW	L3-N-37-880-00351		
401561	880	N	4	1	33000	14.25	24.477	37.614012	-122.071623	.455	ML	5	north of ward creek	DT387	L5-N-33-880-01425		
401562	880	S	4	1	53000	35.20	45.427	37.827984	-122.293358	.321	ML	4	W of Maritime	DT623	L4-S-33-880-03520		
401564	580	E	4	1	41992	14.60	30.632	37.700775	-121.810998	.55	ML	4	E of Airway Blvd	DT313	L4-E-33-580-01460		
401566	680	N	4	13	83346	13.00	44.501	37.884715	-122.054134	.32	ML	4	1000' S of Rudgear rd	DT570	L4-N-28-680-01300		
401567	87	N	4	85	68000	1.73	1.73	37.279721	-121.864592	.285	ML	2	Capitol Expy/Narvaez Ave	DT128	L2-N-37-087-00173		
401568	4	E	4	13	16000	16.77	16.609	38.013214	-121.998513	.51	ML	3	On ramp diag. To WB 4 from Willo	DT863	L3-E-28-004-01677		
401571	80	W	4	13	60620	5.69	19.023	37.972099	-122.319898	.22	ML	5	W of Hill Top Dr. off ramp	DT467	L5-W-28-080-00569		
401573	4	W	4	13		18.27	18.109	38.023921	-121.97457	.36	ML	4	7100' E of Willow pass Rd.	DT424	L4-W-28-004-01827		
